"CEFR_level","Word_Phrase_Sentence","topic","grammar_type","english","french","example"
"A1","W","People & Family","noun","family","la famille","La famille est très importante pour moi."
"A1","W","People & Family","noun","father","le père","Mon père travaille beaucoup chaque jour."
"A1","W","People & Family","noun","mother","la mère","Ma mère cuisine très bien."
"A1","W","People & Family","noun","parents","les parents","Mes parents habitent à Paris."
"A1","W","People & Family","noun","son","le fils","Son fils a cinq ans."
"A1","W","People & Family","noun","daughter / girl","la fille","Ma fille aime beaucoup la musique."
"A1","W","People & Family","noun","brother","le frère","Mon frère est plus grand que moi."
"A1","W","People & Family","noun","sister","la sœur","Ma sœur habite à Lyon."
"A1","W","People & Family","noun","husband","le mari","Son mari est médecin."
"A1","W","People & Family","noun","woman / wife","la femme","Sa femme parle très bien français."
"A1","W","People & Family","noun","child","l'enfant","L'enfant joue dans le jardin."
"A1","W","People & Family","noun","baby","le bébé","Le bébé dort bien la nuit."
"A1","W","People & Family","noun","friend","l'ami","Mon ami s'appelle Thomas."
"A1","W","People & Family","noun","person","la personne","C'est une personne très sympa."
"A1","W","People & Family","noun","neighbor","le voisin","Mon voisin est très gentil."
"A1","W","People & Family","noun","colleague","le collègue","Mon collègue parle anglais."
"A1","W","People & Family","noun","teacher","le professeur","Le professeur explique bien."
"A1","W","People & Family","noun","student","l'étudiant","L'étudiant étudie beaucoup."
"A1","W","People & Family","noun","gentleman / man","le monsieur","Le monsieur attend le bus."
"A1","W","People & Family","noun","lady","la dame","La dame porte un chapeau rouge."
"A1","W","Daily Verbs","verb","to be","être","Je suis fatigué aujourd'hui."
"A1","W","Daily Verbs","verb","to have","avoir","J'ai deux enfants."
"A1","W","Daily Verbs","verb","to do / make","faire","Je fais du sport le matin."
"A1","W","Daily Verbs","verb","to go","aller","Nous allons au marché ce soir."
"A1","W","Daily Verbs","verb","to come","venir","Tu viens dîner ce soir?"
"A1","W","Daily Verbs","verb","to take","prendre","Je prends le train à huit heures."
"A1","W","Daily Verbs","verb","to put / wear","mettre","Elle met un manteau avant de sortir."
"A1","W","Daily Verbs","verb","to give","donner","Il donne un cadeau à sa mère."
"A1","W","Daily Verbs","verb","to say / tell","dire","Qu'est-ce que tu dis?"
"A1","W","Daily Verbs","verb","to speak","parler","Elle parle très bien français."
"A1","W","Daily Verbs","verb","to listen","écouter","J'écoute de la musique en travaillant."
"A1","W","Daily Verbs","verb","to watch / look at","regarder","Nous regardons un film ce soir."
"A1","W","Daily Verbs","verb","to see","voir","Je vois mes amis demain matin."
"A1","W","Daily Verbs","verb","to know","savoir","Tu sais parler espagnol?"
"A1","W","Daily Verbs","verb","to want","vouloir","Je veux un café s'il vous plaît."
"A1","W","Daily Verbs","verb","can / to be able to","pouvoir","Tu peux m'aider s'il te plaît?"
"A1","W","Daily Verbs","verb","must / to have to","devoir","Je dois partir maintenant."
"A1","W","Daily Verbs","verb","to like / love","aimer","J'aime beaucoup le chocolat."
"A1","W","Daily Verbs","verb","to prefer","préférer","Je préfère le thé au café."
"A1","W","Daily Verbs","verb","to look for","chercher","Je cherche mes clés depuis ce matin."
"A1","W","Daily Verbs","verb","to find","trouver","J'ai trouvé mon passeport!"
"A1","W","Daily Verbs","verb","to buy","acheter","Elle achète des légumes au marché."
"A1","W","Daily Verbs","verb","to pay","payer","Je vais payer par carte bancaire."
"A1","W","Daily Verbs","verb","to open","ouvrir","Ouvre la fenêtre s'il te plaît."
"A1","W","Daily Verbs","verb","to close","fermer","Ferme bien la porte en sortant."
"A1","W","Daily Verbs","verb","to start","commencer","Le cours commence à neuf heures."
"A1","W","Daily Verbs","verb","to finish","finir","Je finis le travail à dix-huit heures."
"A1","W","Daily Verbs","verb","to wait","attendre","J'attends le bus depuis dix minutes."
"A1","W","Daily Verbs","verb","to stay","rester","Je reste à la maison ce soir."
"A1","W","Home","noun","house","la maison","J'habite dans une petite maison."
"A1","W","Home","noun","apartment","l'appartement","Son appartement est au troisième étage."
"A1","W","Home","noun","bedroom / room","la chambre","Ma chambre est grande et lumineuse."
"A1","W","Home","noun","kitchen","la cuisine","Je cuisine dans la cuisine chaque soir."
"A1","W","Home","noun","bathroom","la salle de bains","La salle de bains est libre maintenant."
"A1","W","Home","noun","living room","le salon","Nous regardons la télé dans le salon."
"A1","W","Home","noun","door","la porte","Ferme la porte s'il te plaît."
"A1","W","Home","noun","window","la fenêtre","Ouvre la fenêtre car il fait chaud."
"A1","W","Home","noun","table","la table","Mets les assiettes sur la table."
"A1","W","Home","noun","chair","la chaise","Prends une chaise et assieds-toi."
"A1","W","Home","noun","bed","le lit","Je vais au lit à minuit."
"A1","W","Home","noun","wardrobe / cupboard","l'armoire","Mes vêtements sont dans l'armoire."
"A1","W","Home","noun","key","la clé","J'ai perdu ma clé ce matin."
"A1","W","Home","noun","garden","le jardin","Les enfants jouent dans le jardin."
"A1","W","Home","noun","stairs","l'escalier","Prends l'escalier plutôt que l'ascenseur."
"A1","W","Food & Drink","noun","bread","le pain","Je mange du pain frais le matin."
"A1","W","Food & Drink","noun","water","l'eau","Je bois beaucoup d'eau chaque jour."
"A1","W","Food & Drink","noun","coffee","le café","Je prends un café s'il vous plaît."
"A1","W","Food & Drink","noun","tea","le thé","Elle préfère le thé au café."
"A1","W","Food & Drink","noun","milk","le lait","Le bébé boit du lait."
"A1","W","Food & Drink","noun","cheese","le fromage","Le fromage français est délicieux."
"A1","W","Food & Drink","noun","fruit","le fruit","Je mange des fruits chaque matin."
"A1","W","Food & Drink","noun","apple","la pomme","Elle mange une pomme après le déjeuner."
"A1","W","Food & Drink","noun","banana","la banane","La banane est jaune et sucrée."
"A1","W","Food & Drink","noun","vegetable","le légume","Je mange des légumes tous les jours."
"A1","W","Food & Drink","noun","soup","la soupe","La soupe est chaude et délicieuse."
"A1","W","Food & Drink","noun","meat","la viande","Je ne mange pas de viande le lundi."
"A1","W","Food & Drink","noun","fish","le poisson","Le poisson du marché est très frais."
"A1","W","Food & Drink","noun","rice","le riz","Je mange du riz avec du poulet."
"A1","W","Food & Drink","noun","pasta","les pâtes","Les pâtes sont prêtes dans cinq minutes."
"A1","W","Food & Drink","noun","sugar","le sucre","Tu veux du sucre dans ton café?"
"A1","W","Food & Drink","noun","salt","le sel","Passe-moi le sel s'il te plaît."
"A1","W","Food & Drink","noun","meal","le repas","Le repas était vraiment délicieux."
"A1","W","Food & Drink","noun","breakfast","le petit déjeuner","Je prends le petit déjeuner à sept heures."
"A1","W","Food & Drink","noun","dinner","le dîner","Le dîner est servi à vingt heures."
"A2","W","Travel & City","noun","city / town","la ville","Paris est une très grande ville."
"A2","W","Travel & City","noun","village","le village","Je viens d'un petit village en Bretagne."
"A2","W","Travel & City","noun","street","la rue","Quelle rue cherchez-vous exactement?"
"A2","W","Travel & City","noun","square / place","la place","On se retrouve sur la place à midi."
"A2","W","Travel & City","noun","train station","la gare","La gare est loin d'ici."
"A2","W","Travel & City","noun","airport","l'aéroport","L'avion arrive à l'aéroport à midi."
"A2","W","Travel & City","noun","train","le train","Le train part à midi précis."
"A2","W","Travel & City","noun","bus","le bus","Je prends le bus chaque matin."
"A2","W","Travel & City","noun","car","la voiture","Ma voiture est en panne aujourd'hui."
"A2","W","Travel & City","noun","bicycle","le vélo","Je vais au travail à vélo."
"A2","W","Travel & City","noun","taxi","le taxi","Prenons un taxi pour aller à l'aéroport."
"A2","W","Travel & City","noun","ticket","le billet","J'ai acheté deux billets aller-retour."
"A2","W","Travel & City","noun","map / card","la carte","Tu as une carte de la ville?"
"A2","W","Travel & City","noun","hotel","l'hôtel","L'hôtel est près de la gare."
"A2","W","Travel & City","noun","restaurant","le restaurant","Ce restaurant est excellent et pas cher."
"A2","W","Travel & City","noun","bank","la banque","La banque est fermée le dimanche."
"A2","W","Travel & City","noun","post office","la poste","Je vais à la poste envoyer un colis."
"A2","W","Travel & City","noun","shop","le magasin","Ce magasin ferme à vingt heures."
"A2","W","Travel & City","noun","market","le marché","Je vais au marché le samedi matin."
"A2","W","Travel & City","noun","museum","le musée","Le musée ouvre à neuf heures."
"A1","W","Time","adverb","today","aujourd'hui","Aujourd'hui il fait très beau."
"A1","W","Time","adverb","tomorrow","demain","Je travaille demain toute la journée."
"A1","W","Time","adverb","yesterday","hier","Hier j'ai mangé au restaurant."
"A1","W","Time","adverb","now","maintenant","Je suis occupé maintenant."
"A1","W","Time","adverb","soon","bientôt","À bientôt!"
"A1","W","Time","adverb","always / still","toujours","Il est toujours en retard."
"A1","W","Time","adverb","often","souvent","Je mange souvent ici le midi."
"A1","W","Time","adverb","sometimes","parfois","Parfois je prends le bus au lieu du vélo."
"A1","W","Time","adverb","never","jamais","Je ne mange jamais de viande."
"A1","W","Time","noun","morning","le matin","Je fais du sport le matin."
"A1","W","Time","noun","afternoon","l'après-midi","Je me repose l'après-midi."
"A1","W","Time","noun","evening","le soir","Nous dînons ensemble le soir."
"A1","W","Time","noun","night","la nuit","La nuit il fait très froid en hiver."
"A1","W","Time","noun","week","la semaine","La semaine prochaine je pars en vacances."
"A1","W","Time","noun","month","le mois","Ce mois-ci je suis très occupé."
"A2","W","Work & Study","noun","work","le travail","J'aime vraiment mon travail."
"A2","W","Work & Study","noun","office / desk","le bureau","Mon bureau est au deuxième étage."
"A2","W","Work & Study","noun","school","l'école","Les enfants vont à l'école à pied."
"A2","W","Work & Study","noun","university","l'université","Elle étudie le droit à l'université."
"A2","W","Work & Study","noun","class / lesson","le cours","Le cours commence dans dix minutes."
"A2","W","Work & Study","noun","lesson","la leçon","C'est une leçon très difficile."
"A2","W","Work & Study","noun","homework / duty","le devoir","J'ai beaucoup de devoirs ce soir."
"A2","W","Work & Study","noun","book","le livre","J'ai lu ce livre deux fois."
"A2","W","Work & Study","noun","notebook","le cahier","Écris tes réponses dans le cahier."
"A2","W","Work & Study","noun","pen","le stylo","Tu as un stylo que je peux emprunter?"
"A2","W","Work & Study","noun","question","la question","Tu as des questions sur le cours?"
"A2","W","Work & Study","noun","answer","la réponse","La réponse correcte est la troisième."
"A2","W","Work & Study","verb","to understand","comprendre","Je ne comprends pas cette règle."
"A2","W","Work & Study","verb","to learn","apprendre","J'apprends le français depuis six mois."
"A2","W","Work & Study","verb","to write","écrire","J'écris une lettre à mes parents."
"A2","W","Work & Study","verb","to read","lire","Je lis un livre intéressant en ce moment."
"A2","W","Health & Body","noun","head","la tête","J'ai mal à la tête depuis ce matin."
"A2","W","Health & Body","noun","hand","la main","Lève la main si tu sais la réponse."
"A2","W","Health & Body","noun","foot","le pied","J'ai mal au pied après la course."
"A2","W","Health & Body","noun","eyes","les yeux","Elle a de beaux yeux bleus."
"A2","W","Health & Body","noun","mouth","la bouche","Ouvre la bouche s'il vous plaît."
"A2","W","Health & Body","noun","nose","le nez","Il a le nez qui coule."
"A2","W","Health & Body","noun","ear","l'oreille","J'ai mal à l'oreille depuis hier."
"A2","W","Health & Body","noun","doctor","le médecin","Je dois voir le médecin aujourd'hui."
"A2","W","Health & Body","noun","pharmacy","la pharmacie","La pharmacie est ouverte jusqu'à vingt heures."
"A2","W","Health & Body","noun","health","la santé","La santé est la chose la plus importante."
"A2","W","Health & Body","adjective","tired","fatigué","Je suis très fatigué ce soir."
"A2","W","Health & Body","adjective","sick","malade","Elle est malade depuis lundi."
"A2","W","Health & Body","phrase","to hurt / have pain","avoir mal","J'ai mal au ventre depuis ce matin."
"A2","W","Weather & Nature","noun","weather / time","le temps","Quel temps fait-il aujourd'hui?"
"A2","W","Weather & Nature","noun","sun","le soleil","Le soleil brille toute la journée."
"A2","W","Weather & Nature","noun","rain","la pluie","Il y a de la pluie aujourd'hui."
"A2","W","Weather & Nature","noun","wind","le vent","Il y a beaucoup de vent en automne."
"A2","W","Weather & Nature","noun","snow","la neige","La neige est tombée cette nuit."
"A2","W","Weather & Nature","adjective","hot / warm","chaud","Il fait très chaud en été."
"A2","W","Weather & Nature","adjective","cold","froid","Il fait très froid en hiver."
"A2","W","Weather & Nature","adjective","beautiful / nice","beau","Il fait beau aujourd'hui enfin!"
"A2","W","Weather & Nature","noun","sea","la mer","Nous allons à la mer en été."
"A2","W","Weather & Nature","noun","mountain","la montagne","J'adore faire du ski à la montagne."
"A2","W","Weather & Nature","noun","forest","la forêt","La forêt est magnifique en automne."
"A2","W","Weather & Nature","noun","flower","la fleur","Elle aime les fleurs du jardin."
"A2","W","Weather & Nature","noun","tree","l'arbre","L'arbre devant la maison est très grand."
"A1","W","Adjectives","adjective","big / tall","grand","Cette maison est vraiment très grande."
"A1","W","Adjectives","adjective","small / short","petit","Mon appartement est petit mais confortable."
"A1","W","Adjectives","adjective","good","bon","Ce repas est vraiment très bon."
"A1","W","Adjectives","adjective","new","nouveau","J'ai un nouveau téléphone depuis hier."
"A1","W","Adjectives","adjective","old","vieux","Cette église est très vieille."
"A1","W","Adjectives","adjective","young","jeune","Elle est jeune et très dynamique."
"A1","W","Adjectives","adjective","easy","facile","Ce n'est pas aussi facile que je croyais."
"A1","W","Adjectives","adjective","difficult","difficile","Ce problème est vraiment difficile."
"A1","W","Adjectives","adjective","important","important","C'est très important pour moi."
"A1","W","Adjectives","adjective","expensive / dear","cher","Ce restaurant est trop cher."
"A1","W","Adjectives","adjective","free","gratuit","L'entrée au musée est gratuite."
"A1","W","Adjectives","adjective","pretty","joli","Tu as une très jolie robe."
"A1","W","Adjectives","adjective","happy","content","Je suis content de te voir enfin."
"A1","W","Adjectives","adjective","sad","triste","Il est triste depuis plusieurs jours."
"A1","W","Adjectives","adjective","fast","rapide","Le train est rapide et confortable."
"A1","W","Adjectives","adjective","slow","lent","La connexion internet est très lente."
"A2","W","Connectors","conjunction","and","et","J'aime le café et le thé."
"A2","W","Connectors","conjunction","but","mais","Je veux venir mais je suis trop occupé."
"A2","W","Connectors","conjunction","or","ou","Tu veux du café ou du thé?"
"A2","W","Connectors","conjunction","because","parce que","Je suis fatigué parce que j'ai peu dormi."
"A2","W","Connectors","conjunction","when","quand","Appelle-moi quand tu arrives à la gare."
"A2","W","Connectors","conjunction","if","si","Si tu veux on peut partir maintenant."
"A2","W","Connectors","conjunction","so / therefore","donc","J'ai faim donc je mange quelque chose."
"A2","W","Connectors","preposition","with","avec","Je viens avec toi bien sûr."
"A2","W","Connectors","preposition","without","sans","Je ne peux pas vivre sans café."
"A2","W","Connectors","preposition","for / to","pour","Ce cadeau est pour toi."
"A2","W","Connectors","preposition","in","dans","Le chat est dans la boîte."
"A2","W","Connectors","preposition","on","sur","Le livre est sur la table."
"A2","W","Connectors","preposition","under","sous","Le chat est sous la chaise."
"A2","W","Connectors","preposition","between","entre","La banque est entre la poste et le musée."
"A2","W","Connectors","preposition","at someone's place","chez","Je suis chez moi ce soir."
"A2","W","Connectors","preposition","with","avec","Je vais au cinéma avec mes amis."
"A2","W","Connectors","preposition","before","avant","Je prends un café avant le travail."
"A2","W","Connectors","preposition","after","après","Nous mangeons après la réunion."
"A2","W","Connectors","preposition","during","pendant","Je dors pendant le voyage."
"A2","W","Connectors","preposition","since / for","depuis","J’habite ici depuis deux ans."
"A2","W","Connectors","preposition","until","jusqu’à","Je travaille jusqu’à six heures."
"A2","W","Connectors","preposition","near","près de","La pharmacie est près de la gare."
"A2","W","Connectors","preposition","far from","loin de","Mon bureau est loin de chez moi."
"A2","W","Connectors","preposition","next to","à côté de","La boulangerie est à côté de l’école."
"A2","W","Connectors","preposition","in front of","devant","La voiture est devant la maison."
"A2","W","Connectors","preposition","behind","derrière","Le jardin est derrière la maison."
"A2","W","Connectors","preposition","above","au-dessus de","La lampe est au-dessus de la table."
"A2","W","Connectors","preposition","below","au-dessous de","Le parking est au-dessous du bâtiment."
"A2","W","Connectors","preposition","opposite / across from","en face de","La banque est en face du restaurant."
"A2","W","Connectors","preposition","around","autour de","Il y a des arbres autour de la maison."
"A2","W","Connectors","preposition","towards","vers","Je marche vers la station de métro."
"A2","W","Connectors","preposition","from","de","Je viens de France."
"A2","W","Connectors","preposition","to / at / in","à","Je vais à Paris."
"A2","W","Connectors","preposition","by / through","par","Je passe par le parc."
"A2","W","Connectors","preposition","against","contre","Le vélo est contre le mur."
"A2","W","Connectors","preposition","among","parmi","Elle est populaire parmi les étudiants."
"A2","W","Connectors","preposition","according to","selon","Selon moi, c’est une bonne idée."
"A2","W","Connectors","preposition","despite","malgré","Il sort malgré la pluie."
"A2","W","Connectors","preposition","because of","à cause de","Je suis en retard à cause du trafic."
"A2","W","Connectors","preposition","thanks to","grâce à","J’ai réussi grâce à ton aide."
"A2","W","Connectors","preposition","instead of","au lieu de","Je prends du thé au lieu du café."
"A2","W","Connectors","preposition","about","à propos de","Nous parlons à propos du projet."
"A2","W","Connectors","preposition","regarding","concernant","Concernant la réunion, je suis disponible."
"A2","W","Connectors","preposition","except","sauf","Tout le monde est là sauf Paul."
"A2","W","Connectors","preposition","outside","hors de","Le chien est hors de la maison."
"A2","W","Connectors","preposition","inside","à l’intérieur de","Les clés sont à l’intérieur du sac."
"A2","W","Connectors","preposition","outside of","à l’extérieur de","Les enfants jouent à l’extérieur de l’école."
"A2","W","Connectors","preposition","along","le long de","Nous marchons le long de la rivière."
"A2","W","Connectors","preposition","at the end of","au bout de","La boutique est au bout de la rue."
"A2","W","Connectors","preposition","in the middle of","au milieu de","Il y a une table au milieu de la pièce."
"A2","W","Shopping & Money","noun","money","l'argent","Je n'ai pas assez d'argent aujourd'hui."
"A2","W","Shopping & Money","noun","price","le prix","Quel est le prix de ce manteau?"
"A2","W","Shopping & Money","noun","bank card","la carte bancaire","Je paie avec ma carte bancaire."
"A2","W","Shopping & Money","noun","bag","le sac","J'ai oublié mon sac au bureau."
"A2","W","Shopping & Money","noun","size","la taille","Quelle est votre taille?"
"A2","W","Shopping & Money","noun","color","la couleur","Quelle couleur préférez-vous?"
"A2","W","Shopping & Money","verb","to try","essayer","Je peux essayer ce manteau?"
"A2","W","Shopping & Money","verb","to cost","coûter","Combien ça coûte?"
"B1","W","Emotions & Opinions","adjective","happy","heureux","Je suis très heureux de te voir."
"B1","W","Emotions & Opinions","adjective","worried","inquiet","Je suis inquiet pour mon ami."
"B1","W","Emotions & Opinions","adjective","calm","calme","Reste calme s'il te plaît."
"B1","W","Emotions & Opinions","adjective","annoyed","énervé","Il est énervé parce qu'il est en retard."
"B1","W","Emotions & Opinions","verb","to think","penser","Je pense que c'est une bonne idée."
"B1","W","Emotions & Opinions","verb","to believe","croire","Je crois que tu as raison."
"B1","W","Emotions & Opinions","verb","to hope","espérer","J'espère que tu vas bien."
"B1","W","Technology","noun","phone","le téléphone","Mon téléphone est mort et je cherche un chargeur."
"B1","W","Technology","noun","computer","l'ordinateur","J'utilise l'ordinateur pour travailler."
"B1","W","Technology","noun","screen","l'écran","L'écran de mon téléphone est cassé."
"B1","W","Technology","noun","message","le message","J'ai reçu un message important."
"B1","W","Technology","noun","email","l'e-mail","Envoie-moi un e-mail avec les détails."
"B1","W","Technology","noun","internet","internet","Je n'ai pas internet ici."
"B1","W","Technology","noun","password","le mot de passe","J'ai oublié mon mot de passe."
"B1","W","Technology","verb","to download","télécharger","Je télécharge l'application maintenant."
"A1","W","Common Phrases","phrase","hello / good morning","bonjour","Bonjour comment allez-vous aujourd'hui?"
"A1","W","Common Phrases","phrase","good evening","bonsoir","Bonsoir et bienvenue!"
"A1","W","Common Phrases","phrase","thank you","merci","Merci beaucoup pour votre aide."
"A1","W","Common Phrases","phrase","please","s'il vous plaît","Un café s'il vous plaît."
"A1","W","Common Phrases","phrase","sorry / excuse me","pardon","Pardon où est la gare s'il vous plaît?"
"A1","W","Common Phrases","phrase","okay / agreed","d'accord","D'accord on se retrouve à midi."
"A1","W","Common Phrases","phrase","of course","bien sûr","Bien sûr avec grand plaisir!"
"A1","W","Common Phrases","phrase","see you soon","à bientôt","À bientôt et prenez soin de vous."
"A1","W","Common Phrases","phrase","goodbye","au revoir","Au revoir et bonne journée!"
"B2","W","Business Terminology","noun","artificial intelligence","l'intelligence artificielle","L'intelligence artificielle aide les entreprises."
"B2","W","Business Terminology","noun","machine learning","l'apprentissage automatique","L'apprentissage automatique améliore les modèles."
"B2","W","Business Terminology","noun","data","les données","Les données sont très importantes."
"B2","W","Business Terminology","noun","database","la base de données","La base de données est sécurisée."
"B2","W","Business Terminology","noun","algorithm","l'algorithme","L'algorithme analyse les données."
"B2","W","Business Terminology","noun","software","le logiciel","Le logiciel fonctionne bien."
"B2","W","Business Terminology","noun","application","l'application","Nous développons une application."
"B2","W","Business Terminology","noun","user interface","l'interface utilisateur","L'interface utilisateur est simple."
"B2","W","Business Terminology","noun","user experience","l'expérience utilisateur","L'expérience utilisateur est importante."
"B2","W","Business Terminology","noun","cybersecurity","la cybersécurité","La cybersécurité protège les données."
"B2","W","Business Terminology","noun","automation","l'automatisation","L'automatisation fait gagner du temps."
"B2","W","Business Terminology","noun","digital transformation","la transformation numérique","L'entreprise commence une transformation numérique."
"B2","W","Business Terminology","noun","cloud computing","le cloud computing","L'application fonctionne avec le cloud computing."
"B2","W","Business Terminology","noun","API","l'API","L'application utilise une API."
"B2","W","Business Terminology","noun","AI model","le modèle d'IA","Le modèle d'IA donne une réponse."
"B2","W","Business Terminology","noun","chatbot","le chatbot","Le chatbot répond aux questions."
"B2","W","Business Terminology","noun","prompt","le prompt","Le prompt doit être clair."
"B2","W","Business Terminology","noun","platform","la plateforme","La plateforme est facile à utiliser."
"B2","W","Business Terminology","noun","server","le serveur","Le serveur est rapide."
"B2","W","Business Terminology","noun","security","la sécurité","La sécurité est une priorité."
"B2","W","Business Terminology","verb","to deploy","déployer","Nous allons déployer l'application."
"B2","W","Business Terminology","verb","to automate","automatiser","Nous voulons automatiser cette tâche."
"B2","W","Business Terminology","verb","to analyze","analyser","Nous analysons les résultats."
"B2","W","Business Terminology","verb","to optimize","optimiser","L'équipe optimise le système."
"B2","W","Business Terminology","verb","to integrate","intégrer","Nous devons intégrer cette API."